argumentTypeId,argumentTypeName,sourceOccurrenceId,sourceTaxonId,sourceTaxonName,sourceBodyPartId,sourceBodyPartName,sourceLifeStageId,sourceLifeStageName,sourcePhysiologicalStateId,sourcePhysiologicalStateName,interactionTypeId,interactionTypeName,targetOccurrenceId,targetTaxonId,targetTaxonName,targetBodyPartId,targetBodyPartName,targetLifeStageId,targetLifeStageName,targetPhysiologicalStateId,targetPhysiologicalStateName,localityId,localityName,decimalLatitude,decimalLongitude,observationDateTime,referenceDoi,referenceUrl
https://en.wiktionary.org/wiki/support,support,,EOL:45275480,Heterocyathus aequicostatus,,,,,,,http://purl.obolibrary.org/obo/RO_0002440 ,symbiotically interacts with,,EOL:46555021,Aspidosiphon sp,,,,,,,,,,,,10.1002/fee.2426,https://esajournals.onlinelibrary.wiley.com/doi/10.1002/fee.2426
https://en.wiktionary.org/wiki/support,support,,EOL:45275697,Heteropsammia cochlea,,,,,,,http://purl.obolibrary.org/obo/RO_0002440 ,symbiotically interacts with,,EOL:46555021,Aspidosiphon sp,,,,,,,,,,,,10.1002/fee.2426,https://esajournals.onlinelibrary.wiley.com/doi/10.1002/fee.2426
https://en.wiktionary.org/wiki/support,support,,EOL:133021,Ochotona princeps,,,,,,,http://purl.obolibrary.org/obo/RO_0002445,is parasitized by,,EOL:9059317,Ixodoidea,,,,,,,,"Salt Lake City, Utah",,,,10.1002/fee.2414,https://esajournals.onlinelibrary.wiley.com/doi/10.1002/fee.2414
https://en.wiktionary.org/wiki/support,support,,EOL:1037748,Rhacophorus schlegelii,,,,,,,http://purl.obolibrary.org/obo/RO_0002439,preys on,,EOL:127465,Graphium sarpedon,,wing,,Adult,,,,Japan,,,,10.1002/fee.2401,https://esajournals.onlinelibrary.wiley.com/doi/10.1002/fee.2401
https://en.wiktionary.org/wiki/support,support,,EOL:46581276,Cirrhitichthys aprinus,,,,,,,http://purl.obolibrary.org/obo/RO_0002439,preys on,,EOL:4705835,Capillaster multiradiatus,,,,,,,,"off the coast of Dauin, The Philippines",,,,10.1002/fee.2272,https://esajournals.onlinelibrary.wiley.com/doi/10.1002/fee.2272
https://en.wiktionary.org/wiki/refute,refute,,EOL:1052750,Turdus rufiventris,,,,,,,http://purl.obolibrary.org/obo/RO_0002470,eats,,EOL:1100381,Euterpe edulis,,berry,,,,,,"Tapira√≠, Brazil",,,,10.1002/fee.2248,https://esajournals.onlinelibrary.wiley.com/doi/10.1002/fee.2248
https://en.wiktionary.org/wiki/refute,refute,,EOL:1052829,Turdus flavipes,,,,,,,http://purl.obolibrary.org/obo/RO_0002470,eats,,EOL:1100381,Euterpe edulis,,berry,,,,,,"Tapira√≠, Brazil",,,,10.1002/fee.2248,https://esajournals.onlinelibrary.wiley.com/doi/10.1002/fee.2248
https://en.wiktionary.org/wiki/support,support,,EOL:45511296,Procellaria aequinoctialis,,eye,,,,,http://purl.obolibrary.org/obo/RO_0002445,is parasitized by,,EOL:514871,Ixodes kerguelenensis,,,,,,,,Possession Island,,,2017-12,10.1002/fee.2237,https://esajournals.onlinelibrary.wiley.com/doi/10.1002/fee.2237
https://en.wiktionary.org/wiki/support,support,,EOL:46546927,Hemicorallium,,,,,,,http://purl.obolibrary.org/obo/RO_0008505,creates habitat for,,EOL:2036,Ophiuroidea,,,,,,,,,,,,10.1002/fee.2200,https://esajournals.onlinelibrary.wiley.com/doi/10.1002/fee.2200
https://en.wiktionary.org/wiki/support,support,,EOL:1048462,Aquila audax,,,,Adult,,,http://purl.obolibrary.org/obo/RO_0002470,eats,,EOL:47054486,Canis lupus dingo,,carcass,,,,,,Australia,,,,10.1002/fee.2167,https://esajournals.onlinelibrary.wiley.com/doi/10.1002/fee.2167
https://en.wiktionary.org/wiki/support,support,,EOL:50945566,Ranatra chinensis,,,,,,,http://purl.obolibrary.org/obo/RO_0002441,commensually interacts with,,EOL:46581740,Cyprinus,,,,egg,,,,"Ibaraki, Japan",,,,,
https://en.wiktionary.org/wiki/support,support,,EOL:467588,Camponotus molossus,,,,,,,http://purl.obolibrary.org/obo/RO_0002455,pollinates,,EOL:5510479,Conospermum undulatum,,,,,,,,southwestern Australia,,,,10.1002/fee.2135,https://esajournals.onlinelibrary.wiley.com/doi/10.1002/fee.2135
https://en.wiktionary.org/wiki/support,support,,EOL:467588,Camponotus molossus,,,,,,,http://purl.obolibrary.org/obo/RO_0002470,eats,,EOL:5510479,Conospermum undulatum,,,,,,,,southwestern Australia,,,,10.1002/fee.2135,https://esajournals.onlinelibrary.wiley.com/doi/10.1002/fee.2135
https://en.wiktionary.org/wiki/support,support,,EOL:311623,Sciurus lis,,,,Adult,,,http://purl.obolibrary.org/obo/RO_0002470,eats,,EOL:47392415,Amanita muscaria,,,,,,,,,,,,10.1002/fee.2443,https://esajournals.onlinelibrary.wiley.com/doi/10.1002/fee.2443
https://en.wiktionary.org/wiki/support,support,,EOL:52569796,Boana caiapo,,,,,,,http://purl.obolibrary.org/obo/RO_0002445,is parasitized by,,EOL:55428,Corethrella sp,,,,,,,,"northern Mato Grosso, Brazil",,,,10.1002/fee.2440,https://esajournals.onlinelibrary.wiley.com/doi/10.1002/fee.2440
https://en.wiktionary.org/wiki/support,support,,EOL:3118774,Acanthina monodo,,,,,,,http://purl.obolibrary.org/obo/RO_0002439,preys on,,EOL:46467095,Perumytilus purpuratu,,,,,,,,Chile,,,,10.1002/fee.2463,https://esajournals.onlinelibrary.wiley.com/doi/10.1002/fee.2463
https://en.wiktionary.org/wiki/support,support,,EOL:46467095,Perumytilus purpuratu,,,,,,,http://purl.obolibrary.org/obo/RO_0002470,eats,,EOL:60222665,phytoplankton,,,,,,,,Chile,,,,10.1002/fee.2463,https://esajournals.onlinelibrary.wiley.com/doi/10.1002/fee.2463
https://en.wiktionary.org/wiki/support,support,,EOL:1074059,Margattea satsumana,,,,,,,http://purl.obolibrary.org/obo/RO_0002455,pollinates,,EOL:2872811,Balanophora tobiracola,,,,,,,,"Yakushima Island, Japan",,,,10.1002/fee.2464,https://esajournals.onlinelibrary.wiley.com/doi/10.1002/fee.2464
